Transform3D(0.751425, 0.608547, -0.214729, -0.561579, 0.452937, -0.68665, -0.318566, 0.636786, 0.694169, -0.133818, 0.663563, -0.570566)
Transform3D(0.748758, 0.611068, -0.216895, -0.56509, 0.451158, -0.684915, -0.318638, 0.635633, 0.695209, -0.133781, 0.663267, -0.5707)
Transform3D(0.746493, 0.613455, -0.217971, -0.567803, 0.449976, -0.683427, -0.319129, 0.63417, 0.696336, -0.133737, 0.66293, -0.570816)
Transform3D(0.74418, 0.615887, -0.21903, -0.570537, 0.448758, -0.681927, -0.319655, 0.632674, 0.697473, -0.133687, 0.662971, -0.57093)
Transform3D(0.741861, 0.618467, -0.219631, -0.572511, 0.446544, -0.681731, -0.321511, 0.631724, 0.697476, -0.133738, 0.663258, -0.570737)
Transform3D(0.739359, 0.621502, -0.2195, -0.573471, 0.442753, -0.683434, -0.325536, 0.631412, 0.695848, -0.133768, 0.663497, -0.570524)
Transform3D(0.736925, 0.624431, -0.219376, -0.574399, 0.439119, -0.685036, -0.329397, 0.631061, 0.694311, -0.133629, 0.663878, -0.570242)
Transform3D(0.73681, 0.624589, -0.219313, -0.573216, 0.436663, -0.687644, -0.331709, 0.632607, 0.691748, -0.133367, 0.664376, -0.569791)
Transform3D(0.737017, 0.624382, -0.219207, -0.571522, 0.434017, -0.690782, -0.334164, 0.634629, 0.688648, -0.133085, 0.664803, -0.569375)
Transform3D(0.737108, 0.62431, -0.219104, -0.57002, 0.431488, -0.693657, -0.336517, 0.636421, 0.685785, -0.13306, 0.66521, -0.56886)
Transform3D(0.738892, 0.622391, -0.218548, -0.567329, 0.430957, -0.696234, -0.337154, 0.638656, 0.683347, -0.132963, 0.665502, -0.568691)
Transform3D(0.740453, 0.620453, -0.218776, -0.565854, 0.431381, -0.697185, -0.336207, 0.640255, 0.682303, -0.132899, 0.665828, -0.568567)
Transform3D(0.741755, 0.618829, -0.218964, -0.564555, 0.43161, -0.69811, -0.335518, 0.64167, 0.681296, -0.13303, 0.665945, -0.568426)
Transform3D(0.743449, 0.617036, -0.218268, -0.562923, 0.433065, -0.698529, -0.334508, 0.642416, 0.68109, -0.132954, 0.665924, -0.568592)
